dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
Georgia,gar_sfh_crsp,3,0.009582270059595076,1.8792840464498168,1,0.0011842849483027738,0.017980255170887374,0.06061857353165778,2
Ohio,gar_sfh_crsp,3,-0.0014756877955302587,-0.29278427928074435,0,-0.009776982886505987,0.006825607295445465,0.7697733187263927,3
Michigan,gar_sfh_crsp,3,0.002473536182810911,0.5515101557737416,0,-0.0049133919572559755,0.009860464322877795,0.5814590092751075,4
Washington,gar_sfh_crsp,3,0.0020987732238945313,0.8861100225166513,0,-0.0018022360869877794,0.00599978253477684,0.37586082028072587,5
Illinois,gar_sfh_crsp,3,0.002976236538185726,1.0774622568726588,0,-0.0015732721521236259,0.0075257452284950765,0.2816428632410617,6
Mississippi,gar_sfh_crsp,3,0.0013597271170642054,0.35663051892814346,0,-0.004919878569447424,0.007639332803575832,0.721475287732074,7
California,gar_sfh_crsp,3,-0.0010763005249281449,-0.21869754157219426,0,-0.009181967784230693,0.0070293667343744,0.8269490476032959,8
Wisconsin,gar_sfh_crsp,3,0.00446389764583473,1.15229261054157,0,-0.0019165415151499348,0.010844336806819392,0.24959198432223983,9
New Mexico,gar_sfh_crsp,3,0.0006855727605018071,0.3452936313638147,0,-0.002584550375155168,0.003955695896158781,0.7299767769851857,10
Alabama,gar_sfh_crsp,3,0.002222061553400021,0.89092191197897,0,-0.001885797799325295,0.0063299209061253355,0.3732754373727647,11
Missouri,gar_sfh_crsp,3,0.00012076059180162954,0.07216591551707828,0,-0.0026353219994418864,0.002876843183045144,0.9424903667463218,12
Minnesota,gar_sfh_crsp,3,0.001255981625481794,0.8177009725638242,0,-0.0012738283013429051,0.0037857915523064924,0.41380461019066317,13
Nebraska,gar_sfh_crsp,3,0.0005874296123400901,0.2830494050161162,0,-0.002830732924732666,0.0040055921494128455,0.7772221723650721,14
Colorado,gar_sfh_crsp,3,0.004486251490040508,1.106566774977717,0,-0.0021911134135464676,0.011163616393627483,0.268859249213238,15
North Dakota,gar_sfh_crsp,3,-1.0994921012353241e-05,-0.5176642662977553,0,-4.597679308892132e-05,2.3986951064214827e-05,0.6048551560806295,16
Kansas,gar_sfh_crsp,3,-1.9346005762200667e-05,-0.007131241369546236,0,-0.004487470830981286,0.004448778819456883,0.9943121610934988,17
South Dakota,gar_sfh_crsp,3,7.119702415896392e-05,0.28411839247575804,0,-0.00034152877173817457,0.00048392282005610225,0.776403195414886,18
Connecticut,gar_sfh_crsp,3,-0.0032850908318192073,-0.8800880345739652,0,-0.009432900116375546,0.0028627184527371292,0.37911194475271826,19
Arkansas,gar_sfh_crsp,3,0.0029949692360910192,0.9411287512817801,0,-0.0022463721214215186,0.008236310593603555,0.34696169867200455,20
Rhode Island,gar_sfh_crsp,3,0.0006649643180713857,0.25856248415510824,0,-0.003570801593099215,0.004900730229241985,0.7960484076286185,21
Oklahoma,gar_sfh_crsp,3,0.0007262894397695651,0.14311415076331455,0,-0.007632170639150413,0.009084749518689539,0.8862409807427776,22
New York,gar_sfh_crsp,3,-0.0010231579587803956,-0.5123790208597231,0,-0.004312056439298679,0.002265740521737886,0.608546478299588,23
West Virginia,gar_sfh_crsp,3,-0.0013697224073197993,-2.048145762198128,1,-0.0024711877076102804,-0.0002682571070293186,0.04091614389007847,24
Idaho,gar_sfh_crsp,3,-9.745175274677477e-05,-0.08556571145349558,0,-0.001973262456569702,0.0017783589510761517,0.9318359848320987,25
Montana,gar_sfh_crsp,3,-0.0015985893942546104,-1.4843882494034404,0,-0.003372323596232205,0.00017514480772298346,0.13815353512486195,26
Iowa,gar_sfh_crsp,3,7.986160597784394e-05,0.04847854137868843,0,-0.0026333746758055296,0.002793097887761216,0.9613486153869213,27
Nevada,gar_sfh_crsp,3,-0.0014606769900466776,-1.1478154001651537,0,-0.003556628646560894,0.0006352746664675377,0.2514346694566272,28
Vermont,gar_sfh_crsp,3,-0.002070584220951792,-1.9998878353751306,1,-0.0037758276400339883,-0.00036534080186959614,0.04589612295294376,29
Wyoming,gar_sfh_crsp,3,-0.0024194455191434055,-3.2882860865208565,1,-0.0036312857692442956,-0.001207605269042516,0.00105810867503342,30
Virginia,gar_sfh_crsp,3,0.002087507223860717,0.5688801411625322,0,-0.003956240591470873,0.008131255039192304,0.5696189163224972,31
Alaska,gar_sfh_crsp,3,-0.00248035557358834,-3.571330255575925,1,-0.0036242423822218286,-0.001336468764954852,0.000379345399457387,32
Oregon,gar_sfh_crsp,3,0.0045129255827786215,0.5738072658803857,0,-0.0084406973111484,0.01746654847670564,0.5662814975813117,33
Massachusetts,gar_sfh_crsp,3,-0.003945635898976097,-1.375055807886862,0,-0.008671658588675874,0.0007803867907236793,0.16955157719914737,34
Maine,gar_sfh_crsp,3,-0.0006343530942755906,-0.3266235617252823,0,-0.003833120581161249,0.0025644143926100665,0.7440497001162134,35
New Jersey,gar_sfh_crsp,3,-0.00044984968347494287,-0.32043094660649,0,-0.002762085303764456,0.0018623859368145693,0.7487367538745073,36
Texas,gar_sfh_crsp,3,-0.00013824444813762687,-0.031458200025515165,0,-0.007376150645962525,0.007099661749687269,0.9749130433563966,37
Utah,gar_sfh_crsp,3,-0.001806595168501712,-0.9809969830695005,0,-0.004839734030478417,0.001226543693474992,0.3269312275562135,38
Louisiana,gar_sfh_crsp,3,0.0008361966660696205,0.22459883322561958,0,-0.005295773831240042,0.0069681671633792805,0.8223565435965674,39
South Carolina,gar_sfh_crsp,3,-0.0026795537180038537,-2.9369693790490317,1,-0.004182218715192226,-0.001176888720815482,0.003422557920744307,40
Tennessee,gar_sfh_crsp,3,-7.320452411408319e-05,-0.03562930653061151,0,-0.0034571992146462086,0.003310790166418041,0.9715880397195806,41
Arizona,gar_sfh_crsp,3,-0.00308964077514352,-1.3134140854004261,0,-0.006964049547406795,0.0007847679971197535,0.18947134400444798,42
Delaware,gar_sfh_crsp,3,-0.005092205710752093,-3.6490730955926374,1,-0.007390589222746829,-0.0027938221987573583,0.00028264795894261674,43
